Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 15:51:55,976][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0 does not exist, skipping load
[2026-05-01 15:51:55,976][main][INFO] - Starting ensemble 1/3 with train_num_samples=100, val_num_samples=6, max_epochs=3, log_every_steps=1, val_every_steps=100, save_every=1, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0.
Ensemble 1/3 | Epoch 2/3 | Step 20/100 | Global 120 | Loss 0.327637 | LR 9.70e-04
Ensemble 1/3 | Epoch 2/3 | Step 21/100 | Global 121 | Loss 0.155300 | LR 9.70e-04
Ensemble 1/3 | Epoch 2/3 | Step 22/100 | Global 122 | Loss 0.169694 | LR 9.70e-04
Ensemble 1/3 | Epoch 2/3 | Step 23/100 | Global 123 | Loss 0.107733 | LR 9.70e-04
Ensemble 1/3 | Epoch 2/3 | Step 24/100 | Global 124 | Loss 0.127688 | LR 9.69e-04
Ensemble 1/3 | Epoch 2/3 | Step 25/100 | Global 125 | Loss 0.104895 | LR 9.69e-04
Ensemble 1/3 | Epoch 2/3 | Step 26/100 | Global 126 | Loss 0.146709 | LR 9.69e-04
Ensemble 1/3 | Epoch 2/3 | Step 27/100 | Global 127 | Loss 0.114041 | LR 9.69e-04
Ensemble 1/3 | Epoch 2/3 | Step 28/100 | Global 128 | Loss 0.077430 | LR 9.69e-04
Ensemble 1/3 | Epoch 2/3 | Step 29/100 | Global 129 | Loss 0.102230 | LR 9.68e-04
Ensemble 1/3 | Epoch 2/3 | Step 30/100 | Global 130 | Loss 0.087064 | LR 9.68e-04
Ensemble 1/3 | Epoch 2/3 | Step 31/100 | Global 131 | Loss 0.184860 | LR 9.68e-04
Ensemble 1/3 | Epoch 2/3 | Step 32/100 | Global 132 | Loss 0.142166 | LR 9.68e-04
Ensemble 1/3 | Epoch 2/3 | Step 33/100 | Global 133 | Loss 0.240517 | LR 9.67e-04
Ensemble 1/3 | Epoch 2/3 | Step 34/100 | Global 134 | Loss 0.130380 | LR 9.67e-04
Ensemble 1/3 | Epoch 2/3 | Step 35/100 | Global 135 | Loss 0.166897 | LR 9.67e-04
Ensemble 1/3 | Epoch 2/3 | Step 36/100 | Global 136 | Loss 0.221042 | LR 9.67e-04
Ensemble 1/3 | Epoch 2/3 | Step 37/100 | Global 137 | Loss 0.128087 | LR 9.66e-04
Ensemble 1/3 | Epoch 2/3 | Step 38/100 | Global 138 | Loss 0.154252 | LR 9.66e-04
Ensemble 1/3 | Epoch 2/3 | Step 39/100 | Global 139 | Loss 0.139020 | LR 9.66e-04
Ensemble 1/3 | Epoch 2/3 | Step 40/100 | Global 140 | Loss 0.153609 | LR 9.66e-04
Ensemble 1/3 | Epoch 2/3 | Step 41/100 | Global 141 | Loss 0.097387 | LR 9.65e-04
Ensemble 1/3 | Epoch 2/3 | Step 42/100 | Global 142 | Loss 0.142773 | LR 9.65e-04
Ensemble 1/3 | Epoch 2/3 | Step 43/100 | Global 143 | Loss 0.154772 | LR 9.65e-04
Ensemble 1/3 | Epoch 2/3 | Step 44/100 | Global 144 | Loss 0.103637 | LR 9.65e-04
Ensemble 1/3 | Epoch 2/3 | Step 45/100 | Global 145 | Loss 0.129327 | LR 9.64e-04
Ensemble 1/3 | Epoch 2/3 | Step 46/100 | Global 146 | Loss 0.164610 | LR 9.64e-04
Ensemble 1/3 | Epoch 2/3 | Step 47/100 | Global 147 | Loss 0.115753 | LR 9.64e-04
Ensemble 1/3 | Epoch 2/3 | Step 48/100 | Global 148 | Loss 0.127328 | LR 9.64e-04
Ensemble 1/3 | Epoch 2/3 | Step 49/100 | Global 149 | Loss 0.169363 | LR 9.63e-04
Ensemble 1/3 | Epoch 2/3 | Step 50/100 | Global 150 | Loss 0.191575 | LR 9.63e-04
Ensemble 1/3 | Epoch 2/3 | Step 51/100 | Global 151 | Loss 0.116137 | LR 9.63e-04
Ensemble 1/3 | Epoch 2/3 | Step 52/100 | Global 152 | Loss 0.174619 | LR 9.63e-04
Ensemble 1/3 | Epoch 2/3 | Step 53/100 | Global 153 | Loss 0.160126 | LR 9.62e-04
Ensemble 1/3 | Epoch 2/3 | Step 54/100 | Global 154 | Loss 0.191247 | LR 9.62e-04
Ensemble 1/3 | Epoch 2/3 | Step 55/100 | Global 155 | Loss 0.154385 | LR 9.62e-04
Ensemble 1/3 | Epoch 2/3 | Step 56/100 | Global 156 | Loss 0.115538 | LR 9.62e-04
Ensemble 1/3 | Epoch 2/3 | Step 57/100 | Global 157 | Loss 0.278957 | LR 9.62e-04
Ensemble 1/3 | Epoch 2/3 | Step 58/100 | Global 158 | Loss 0.132650 | LR 9.61e-04
Ensemble 1/3 | Epoch 2/3 | Step 59/100 | Global 159 | Loss 0.182420 | LR 9.61e-04
Ensemble 1/3 | Epoch 2/3 | Step 60/100 | Global 160 | Loss 0.091412 | LR 9.61e-04
Ensemble 1/3 | Epoch 2/3 | Step 61/100 | Global 161 | Loss 0.471171 | LR 9.61e-04
Ensemble 1/3 | Epoch 2/3 | Step 62/100 | Global 162 | Loss 0.121315 | LR 9.60e-04
Ensemble 1/3 | Epoch 2/3 | Step 63/100 | Global 163 | Loss 0.103336 | LR 9.60e-04
Ensemble 1/3 | Epoch 2/3 | Step 64/100 | Global 164 | Loss 0.116566 | LR 9.60e-04
Ensemble 1/3 | Epoch 2/3 | Step 65/100 | Global 165 | Loss 0.093846 | LR 9.60e-04
Ensemble 1/3 | Epoch 2/3 | Step 66/100 | Global 166 | Loss 0.273601 | LR 9.59e-04
Ensemble 1/3 | Epoch 2/3 | Step 67/100 | Global 167 | Loss 0.180620 | LR 9.59e-04
Ensemble 1/3 | Epoch 2/3 | Step 68/100 | Global 168 | Loss 0.091905 | LR 9.59e-04
Ensemble 1/3 | Epoch 2/3 | Step 69/100 | Global 169 | Loss 0.104767 | LR 9.59e-04
Ensemble 1/3 | Epoch 2/3 | Step 70/100 | Global 170 | Loss 0.176902 | LR 9.58e-04
Ensemble 1/3 | Epoch 2/3 | Step 71/100 | Global 171 | Loss 0.174591 | LR 9.58e-04
Ensemble 1/3 | Epoch 2/3 | Step 72/100 | Global 172 | Loss 0.113674 | LR 9.58e-04
Ensemble 1/3 | Epoch 2/3 | Step 73/100 | Global 173 | Loss 0.169035 | LR 9.58e-04
Ensemble 1/3 | Epoch 2/3 | Step 74/100 | Global 174 | Loss 0.174511 | LR 9.57e-04
Ensemble 1/3 | Epoch 2/3 | Step 75/100 | Global 175 | Loss 0.111585 | LR 9.57e-04
Ensemble 1/3 | Epoch 2/3 | Step 76/100 | Global 176 | Loss 0.090479 | LR 9.57e-04
Ensemble 1/3 | Epoch 2/3 | Step 77/100 | Global 177 | Loss 0.081006 | LR 9.57e-04
Ensemble 1/3 | Epoch 2/3 | Step 78/100 | Global 178 | Loss 0.074593 | LR 9.56e-04
Ensemble 1/3 | Epoch 2/3 | Step 79/100 | Global 179 | Loss 0.170949 | LR 9.56e-04
Ensemble 1/3 | Epoch 2/3 | Step 80/100 | Global 180 | Loss 0.242609 | LR 9.56e-04
Ensemble 1/3 | Epoch 2/3 | Step 81/100 | Global 181 | Loss 0.084422 | LR 9.56e-04
Ensemble 1/3 | Epoch 2/3 | Step 82/100 | Global 182 | Loss 0.138130 | LR 9.56e-04
Ensemble 1/3 | Epoch 2/3 | Step 83/100 | Global 183 | Loss 0.140636 | LR 9.55e-04
Ensemble 1/3 | Epoch 2/3 | Step 84/100 | Global 184 | Loss 0.115761 | LR 9.55e-04
Ensemble 1/3 | Epoch 2/3 | Step 85/100 | Global 185 | Loss 0.164475 | LR 9.55e-04
Ensemble 1/3 | Epoch 2/3 | Step 86/100 | Global 186 | Loss 0.441460 | LR 9.55e-04
Ensemble 1/3 | Epoch 2/3 | Step 87/100 | Global 187 | Loss 0.303970 | LR 9.54e-04
Ensemble 1/3 | Epoch 2/3 | Step 88/100 | Global 188 | Loss 0.098125 | LR 9.54e-04
Ensemble 1/3 | Epoch 2/3 | Step 89/100 | Global 189 | Loss 0.184960 | LR 9.54e-04
