Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 18:57:51,575][checkpoint][INFO] - Loaded model state dictionary /home/iaziz6/Imo_Training/Training/outputs/checkpoints/UNet.0.14.mdlus to device cuda:0
[2026-04-30 18:57:51,735][checkpoint][INFO] - Loaded checkpoint file /home/iaziz6/Imo_Training/Training/outputs/checkpoints/checkpoint.0.14.pt to device cuda:0
[2026-04-30 18:57:51,736][checkpoint][INFO] - Loaded optimizer state dictionary
[2026-04-30 18:57:51,736][checkpoint][INFO] - Loaded scheduler state dictionary
[2026-04-30 18:57:51,736][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=10, val_every_steps=100.
Epoch 16/16 | Step 39/100 | Global 139 | Total 0.243164 | Data 0.237335 | NS 2.654683 | T 3.173975 | LR 6.81e-04
Epoch 16/16 | Step 40/100 | Global 140 | Total 0.227886 | Data 0.223418 | NS 2.236828 | T 2.231914 | LR 6.80e-04
Epoch 16/16 | Step 41/100 | Global 141 | Total 0.108085 | Data 0.102785 | NS 2.799520 | T 2.500347 | LR 6.80e-04
Epoch 16/16 | Step 42/100 | Global 142 | Total 0.150867 | Data 0.145962 | NS 2.563834 | T 2.340731 | LR 6.80e-04
Epoch 16/16 | Step 43/100 | Global 143 | Total 0.170923 | Data 0.165659 | NS 2.839914 | T 2.424193 | LR 6.80e-04
Epoch 16/16 | Step 44/100 | Global 144 | Total 0.136022 | Data 0.130966 | NS 2.607252 | T 2.448604 | LR 6.80e-04
Epoch 16/16 | Step 45/100 | Global 145 | Total 0.127204 | Data 0.121735 | NS 2.829093 | T 2.640240 | LR 6.80e-04
Epoch 16/16 | Step 46/100 | Global 146 | Total 0.193320 | Data 0.187697 | NS 2.955344 | T 2.667382 | LR 6.79e-04
Epoch 16/16 | Step 47/100 | Global 147 | Total 0.153706 | Data 0.148191 | NS 3.055109 | T 2.460355 | LR 6.79e-04
Epoch 16/16 | Step 48/100 | Global 148 | Total 0.173089 | Data 0.167032 | NS 3.215324 | T 2.841461 | LR 6.79e-04
Epoch 16/16 | Step 49/100 | Global 149 | Total 0.210517 | Data 0.204176 | NS 3.619596 | T 2.721818 | LR 6.79e-04
[2026-04-30 19:29:21,097][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch T phy loss =  2.369e+00
Epoch 16/16 | Step 50/100 | Global 150 | Total 0.151213 | Data 0.145672 | NS 3.172316 | T 2.368779 | LR 6.79e-04
Epoch 16/16 | Step 51/100 | Global 151 | Total 0.120656 | Data 0.115856 | NS 2.790970 | T 2.009208 | LR 6.79e-04
Epoch 16/16 | Step 52/100 | Global 152 | Total 0.190246 | Data 0.185573 | NS 2.864332 | T 1.809209 | LR 6.78e-04
Epoch 16/16 | Step 53/100 | Global 153 | Total 0.155813 | Data 0.150960 | NS 2.672554 | T 2.179911 | LR 6.78e-04
Epoch 16/16 | Step 54/100 | Global 154 | Total 0.229743 | Data 0.224105 | NS 3.055014 | T 2.582762 | LR 6.78e-04
Epoch 16/16 | Step 55/100 | Global 155 | Total 0.170591 | Data 0.164862 | NS 2.679138 | T 3.049886 | LR 6.78e-04
Epoch 16/16 | Step 56/100 | Global 156 | Total 0.141695 | Data 0.134205 | NS 2.804551 | T 4.686141 | LR 6.78e-04
Epoch 16/16 | Step 57/100 | Global 157 | Total 0.267604 | Data 0.260911 | NS 2.190204 | T 4.503231 | LR 6.78e-04
Epoch 16/16 | Step 58/100 | Global 158 | Total 0.114858 | Data 0.108534 | NS 2.244141 | T 4.079679 | LR 6.77e-04
Epoch 16/16 | Step 59/100 | Global 159 | Total 0.151922 | Data 0.146162 | NS 2.458776 | T 3.300949 | LR 6.77e-04
Epoch 16/16 | Step 60/100 | Global 160 | Total 0.104616 | Data 0.099778 | NS 2.172284 | T 2.665488 | LR 6.77e-04
Epoch 16/16 | Step 61/100 | Global 161 | Total 0.546850 | Data 0.541555 | NS 2.572516 | T 2.722433 | LR 6.77e-04
Epoch 16/16 | Step 62/100 | Global 162 | Total 0.131088 | Data 0.126825 | NS 2.109180 | T 2.153263 | LR 6.77e-04
Epoch 16/16 | Step 63/100 | Global 163 | Total 0.116275 | Data 0.111149 | NS 2.708680 | T 2.417270 | LR 6.77e-04
Epoch 16/16 | Step 64/100 | Global 164 | Total 0.125821 | Data 0.120706 | NS 2.543260 | T 2.571222 | LR 6.76e-04
Epoch 16/16 | Step 65/100 | Global 165 | Total 0.091712 | Data 0.085980 | NS 2.896260 | T 2.835877 | LR 6.76e-04
