Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 06:49:04,119][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=100, log_every_steps=1, val_every_steps=7.
Epoch 1/100 | Step 86/100 | Global 86 | Total 0.547261 | Data 0.521053 | NS 9.384757 | T 16.823523 | LR 9.79e-04
Epoch 1/100 | Step 87/100 | Global 87 | Total 1.054915 | Data 1.025122 | NS 10.231234 | T 19.561785 | LR 9.78e-04
Epoch 1/100 | Step 88/100 | Global 88 | Total 0.355397 | Data 0.321421 | NS 11.001515 | T 22.974148 | LR 9.78e-04
Epoch 1/100 | Step 89/100 | Global 89 | Total 0.471740 | Data 0.429686 | NS 12.702896 | T 29.350317 | LR 9.78e-04
Epoch 1/100 | Step 90/100 | Global 90 | Total 0.397227 | Data 0.353733 | NS 14.424045 | T 29.070097 | LR 9.78e-04
Epoch 1/100 | Step 91/100 | Global 91 | Total 0.396269 | Data 0.364591 | NS 11.619158 | T 20.059116 | LR 9.78e-04
Epoch 1/100 | Step 92/100 | Global 92 | Total 0.423408 | Data 0.397350 | NS 11.118653 | T 14.939589 | LR 9.77e-04
Epoch 1/100 | Step 93/100 | Global 93 | Total 0.360486 | Data 0.333627 | NS 11.709253 | T 15.149857 | LR 9.77e-04
Epoch 1/100 | Step 94/100 | Global 94 | Total 0.376081 | Data 0.351421 | NS 11.532339 | T 13.127021 | LR 9.77e-04
Epoch 1/100 | Step 95/100 | Global 95 | Total 0.366631 | Data 0.334321 | NS 13.729676 | T 18.579933 | LR 9.77e-04
Epoch 1/100 | Step 96/100 | Global 96 | Total 0.297457 | Data 0.273121 | NS 12.022656 | T 12.313009 | LR 9.76e-04
Epoch 1/100 | Step 97/100 | Global 97 | Total 0.332405 | Data 0.303245 | NS 12.721999 | T 16.437754 | LR 9.76e-04
Epoch 1/100 | Step 98/100 | Global 98 | Total 0.391367 | Data 0.368101 | NS 11.284636 | T 11.981313 | LR 9.76e-04
