Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 14:01:00,577][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, skipping load
[2026-05-01 14:01:00,578][main][INFO] - Using baseline UNet training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet.
Epoch 2/16 | Step 13/100 (global 113) | Loss 0.171154 | LR 9.72e-04
Epoch 2/16 | Step 14/100 (global 114) | Loss 0.093395 | LR 9.72e-04
Epoch 2/16 | Step 15/100 (global 115) | Loss 0.199543 | LR 9.72e-04
Epoch 2/16 | Step 16/100 (global 116) | Loss 0.190863 | LR 9.71e-04
Epoch 2/16 | Step 17/100 (global 117) | Loss 0.155879 | LR 9.71e-04
Epoch 2/16 | Step 18/100 (global 118) | Loss 0.141904 | LR 9.71e-04
Epoch 2/16 | Step 19/100 (global 119) | Loss 0.129828 | LR 9.71e-04
Epoch 2/16 | Step 20/100 (global 120) | Loss 0.344235 | LR 9.70e-04
Epoch 2/16 | Step 21/100 (global 121) | Loss 0.176839 | LR 9.70e-04
Epoch 2/16 | Step 22/100 (global 122) | Loss 0.202597 | LR 9.70e-04
Epoch 2/16 | Step 23/100 (global 123) | Loss 0.128761 | LR 9.70e-04
Epoch 2/16 | Step 24/100 (global 124) | Loss 0.163972 | LR 9.69e-04
Epoch 2/16 | Step 25/100 (global 125) | Loss 0.126252 | LR 9.69e-04
Epoch 2/16 | Step 26/100 (global 126) | Loss 0.156284 | LR 9.69e-04
Epoch 2/16 | Step 27/100 (global 127) | Loss 0.127549 | LR 9.69e-04
Epoch 2/16 | Step 28/100 (global 128) | Loss 0.102424 | LR 9.69e-04
Epoch 2/16 | Step 29/100 (global 129) | Loss 0.122755 | LR 9.68e-04
Epoch 2/16 | Step 30/100 (global 130) | Loss 0.111702 | LR 9.68e-04
Epoch 2/16 | Step 31/100 (global 131) | Loss 0.195563 | LR 9.68e-04
Epoch 2/16 | Step 32/100 (global 132) | Loss 0.165901 | LR 9.68e-04
Epoch 2/16 | Step 33/100 (global 133) | Loss 0.241833 | LR 9.67e-04
Epoch 2/16 | Step 34/100 (global 134) | Loss 0.138466 | LR 9.67e-04
Epoch 2/16 | Step 35/100 (global 135) | Loss 0.166172 | LR 9.67e-04
Epoch 2/16 | Step 36/100 (global 136) | Loss 0.220265 | LR 9.67e-04
Epoch 2/16 | Step 37/100 (global 137) | Loss 0.141008 | LR 9.66e-04
Epoch 2/16 | Step 38/100 (global 138) | Loss 0.149653 | LR 9.66e-04
Epoch 2/16 | Step 39/100 (global 139) | Loss 0.148618 | LR 9.66e-04
Epoch 2/16 | Step 40/100 (global 140) | Loss 0.141702 | LR 9.66e-04
Epoch 2/16 | Step 41/100 (global 141) | Loss 0.098588 | LR 9.65e-04
Epoch 2/16 | Step 42/100 (global 142) | Loss 0.150162 | LR 9.65e-04
Epoch 2/16 | Step 43/100 (global 143) | Loss 0.162003 | LR 9.65e-04
Epoch 2/16 | Step 44/100 (global 144) | Loss 0.102906 | LR 9.65e-04
Epoch 2/16 | Step 45/100 (global 145) | Loss 0.119800 | LR 9.64e-04
Epoch 2/16 | Step 46/100 (global 146) | Loss 0.157696 | LR 9.64e-04
Epoch 2/16 | Step 47/100 (global 147) | Loss 0.115983 | LR 9.64e-04
Epoch 2/16 | Step 48/100 (global 148) | Loss 0.121225 | LR 9.64e-04
Epoch 2/16 | Step 49/100 (global 149) | Loss 0.159466 | LR 9.63e-04
Epoch 2/16 | Step 50/100 (global 150) | Loss 0.194784 | LR 9.63e-04
Epoch 2/16 | Step 51/100 (global 151) | Loss 0.116889 | LR 9.63e-04
Epoch 2/16 | Step 52/100 (global 152) | Loss 0.173171 | LR 9.63e-04
Epoch 2/16 | Step 53/100 (global 153) | Loss 0.156299 | LR 9.62e-04
Epoch 2/16 | Step 54/100 (global 154) | Loss 0.187573 | LR 9.62e-04
Epoch 2/16 | Step 55/100 (global 155) | Loss 0.157410 | LR 9.62e-04
Epoch 2/16 | Step 56/100 (global 156) | Loss 0.126917 | LR 9.62e-04
Epoch 2/16 | Step 57/100 (global 157) | Loss 0.275482 | LR 9.62e-04
Epoch 2/16 | Step 58/100 (global 158) | Loss 0.123948 | LR 9.61e-04
Epoch 2/16 | Step 59/100 (global 159) | Loss 0.182671 | LR 9.61e-04
Epoch 2/16 | Step 60/100 (global 160) | Loss 0.087340 | LR 9.61e-04
Epoch 2/16 | Step 61/100 (global 161) | Loss 0.441664 | LR 9.61e-04
Epoch 2/16 | Step 62/100 (global 162) | Loss 0.123738 | LR 9.60e-04
Epoch 2/16 | Step 63/100 (global 163) | Loss 0.110787 | LR 9.60e-04
Epoch 2/16 | Step 64/100 (global 164) | Loss 0.118947 | LR 9.60e-04
Epoch 2/16 | Step 65/100 (global 165) | Loss 0.091599 | LR 9.60e-04
Epoch 2/16 | Step 66/100 (global 166) | Loss 0.269976 | LR 9.59e-04
Epoch 2/16 | Step 67/100 (global 167) | Loss 0.183714 | LR 9.59e-04
Epoch 2/16 | Step 68/100 (global 168) | Loss 0.097490 | LR 9.59e-04
Epoch 2/16 | Step 69/100 (global 169) | Loss 0.108701 | LR 9.59e-04
Epoch 2/16 | Step 70/100 (global 170) | Loss 0.170562 | LR 9.58e-04
Epoch 2/16 | Step 71/100 (global 171) | Loss 0.179125 | LR 9.58e-04
Epoch 2/16 | Step 72/100 (global 172) | Loss 0.109524 | LR 9.58e-04
Epoch 2/16 | Step 73/100 (global 173) | Loss 0.184606 | LR 9.58e-04
Epoch 2/16 | Step 74/100 (global 174) | Loss 0.183932 | LR 9.57e-04
Epoch 2/16 | Step 75/100 (global 175) | Loss 0.120894 | LR 9.57e-04
Epoch 2/16 | Step 76/100 (global 176) | Loss 0.084036 | LR 9.57e-04
Epoch 2/16 | Step 77/100 (global 177) | Loss 0.076919 | LR 9.57e-04
Epoch 2/16 | Step 78/100 (global 178) | Loss 0.081633 | LR 9.56e-04
Epoch 2/16 | Step 79/100 (global 179) | Loss 0.171183 | LR 9.56e-04
Epoch 2/16 | Step 80/100 (global 180) | Loss 0.227254 | LR 9.56e-04
