Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 08:00:55,464][checkpoint][ERROR] - Could not find valid model file /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/UNet.0.0.mdlus, skipping load
[2026-05-01 08:00:55,465][checkpoint][WARNING] - Could not find valid checkpoint file, skipping load
[2026-05-01 08:00:55,465][main][INFO] - Using NS-only physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only.
Epoch 2/16 | Step 33/100 | Global 133 | Total 0.360463 | Data 0.347076 | NS 13.387368 | LR 9.67e-04
[2026-05-01 08:29:20,999][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch total loss =  1.970e-01
Epoch 2/16 | Step 34/100 | Global 134 | Total 0.197027 | Data 0.183479 | NS 13.548138 | LR 9.67e-04
Epoch 2/16 | Step 35/100 | Global 135 | Total 0.292714 | Data 0.279957 | NS 12.757543 | LR 9.67e-04
Epoch 2/16 | Step 36/100 | Global 136 | Total 0.262201 | Data 0.251708 | NS 10.492260 | LR 9.67e-04
Epoch 2/16 | Step 37/100 | Global 137 | Total 0.258390 | Data 0.247037 | NS 11.352705 | LR 9.66e-04
Epoch 2/16 | Step 38/100 | Global 138 | Total 0.323972 | Data 0.312355 | NS 11.617023 | LR 9.66e-04
Epoch 2/16 | Step 39/100 | Global 139 | Total 0.227281 | Data 0.217892 | NS 9.389210 | LR 9.66e-04
Epoch 2/16 | Step 40/100 | Global 140 | Total 0.220659 | Data 0.211246 | NS 9.412883 | LR 9.66e-04
Epoch 2/16 | Step 41/100 | Global 141 | Total 0.214531 | Data 0.207273 | NS 7.257447 | LR 9.65e-04
Epoch 2/16 | Step 42/100 | Global 142 | Total 0.217886 | Data 0.209542 | NS 8.343554 | LR 9.65e-04
Epoch 2/16 | Step 43/100 | Global 143 | Total 0.303686 | Data 0.297519 | NS 6.166345 | LR 9.65e-04
Epoch 2/16 | Step 44/100 | Global 144 | Total 0.168999 | Data 0.164001 | NS 4.997778 | LR 9.65e-04
Epoch 2/16 | Step 45/100 | Global 145 | Total 0.181176 | Data 0.176017 | NS 5.159482 | LR 9.64e-04
Epoch 2/16 | Step 46/100 | Global 146 | Total 0.220837 | Data 0.215511 | NS 5.325795 | LR 9.64e-04
Epoch 2/16 | Step 47/100 | Global 147 | Total 0.186968 | Data 0.181659 | NS 5.309078 | LR 9.64e-04
Epoch 2/16 | Step 48/100 | Global 148 | Total 0.220793 | Data 0.215226 | NS 5.566697 | LR 9.64e-04
Epoch 2/16 | Step 49/100 | Global 149 | Total 0.257539 | Data 0.251510 | NS 6.029274 | LR 9.63e-04
Epoch 2/16 | Step 50/100 | Global 150 | Total 0.255559 | Data 0.247347 | NS 8.211867 | LR 9.63e-04
