Epoch 15/16 | Step 43/100 | Global 1443 | Total 0.151913 | Data 0.148715 | NS 3.197431 | LR 6.97e-04
Epoch 15/16 | Step 44/100 | Global 1444 | Total 0.353893 | Data 0.350449 | NS 3.444304 | LR 6.97e-04
Epoch 15/16 | Step 45/100 | Global 1445 | Total 0.172649 | Data 0.169506 | NS 3.143205 | LR 6.97e-04
Epoch 15/16 | Step 46/100 | Global 1446 | Total 0.290457 | Data 0.287209 | NS 3.248018 | LR 6.97e-04
Epoch 15/16 | Step 47/100 | Global 1447 | Total 0.109293 | Data 0.106198 | NS 3.094923 | LR 6.96e-04
Epoch 15/16 | Step 48/100 | Global 1448 | Total 0.238963 | Data 0.235393 | NS 3.570192 | LR 6.96e-04
Epoch 15/16 | Step 49/100 | Global 1449 | Total 0.096804 | Data 0.093788 | NS 3.016244 | LR 6.96e-04
Epoch 15/16 | Step 50/100 | Global 1450 | Total 0.133285 | Data 0.129522 | NS 3.762422 | LR 6.96e-04
Epoch 15/16 | Step 51/100 | Global 1451 | Total 0.302143 | Data 0.299145 | NS 2.997944 | LR 6.96e-04
Epoch 15/16 | Step 52/100 | Global 1452 | Total 0.498580 | Data 0.494902 | NS 3.678052 | LR 6.96e-04
Epoch 15/16 | Step 53/100 | Global 1453 | Total 0.159714 | Data 0.156484 | NS 3.230322 | LR 6.95e-04
Epoch 15/16 | Step 54/100 | Global 1454 | Total 0.165394 | Data 0.162622 | NS 2.772201 | LR 6.95e-04
Epoch 15/16 | Step 55/100 | Global 1455 | Total 0.143429 | Data 0.140344 | NS 3.084556 | LR 6.95e-04
Epoch 15/16 | Step 56/100 | Global 1456 | Total 0.158677 | Data 0.155617 | NS 3.060331 | LR 6.95e-04
Epoch 15/16 | Step 57/100 | Global 1457 | Total 0.106758 | Data 0.103901 | NS 2.857097 | LR 6.95e-04
Epoch 15/16 | Step 58/100 | Global 1458 | Total 0.085579 | Data 0.082989 | NS 2.590551 | LR 6.95e-04
Epoch 15/16 | Step 59/100 | Global 1459 | Total 0.137508 | Data 0.134249 | NS 3.258775 | LR 6.94e-04
Epoch 15/16 | Step 60/100 | Global 1460 | Total 0.110013 | Data 0.107119 | NS 2.893913 | LR 6.94e-04
Epoch 15/16 | Step 61/100 | Global 1461 | Total 0.222923 | Data 0.219799 | NS 3.123218 | LR 6.94e-04
Epoch 15/16 | Step 62/100 | Global 1462 | Total 0.082987 | Data 0.080099 | NS 2.888593 | LR 6.94e-04
Epoch 15/16 | Step 63/100 | Global 1463 | Total 0.134277 | Data 0.131599 | NS 2.678219 | LR 6.94e-04
Epoch 15/16 | Step 64/100 | Global 1464 | Total 0.103855 | Data 0.101485 | NS 2.369849 | LR 6.93e-04
Epoch 15/16 | Step 65/100 | Global 1465 | Total 0.146886 | Data 0.144057 | NS 2.829346 | LR 6.93e-04
Epoch 15/16 | Step 66/100 | Global 1466 | Total 0.346084 | Data 0.342709 | NS 3.375132 | LR 6.93e-04
[2026-05-01 13:05:34,898][train][INFO] - [200.00%] Mini-Batch Losses: Mini-batch data loss =  2.195e-01
Epoch 15/16 | Step 67/100 | Global 1467 | Total 0.223149 | Data 0.219471 | NS 3.677897 | LR 6.93e-04
Epoch 15/16 | Step 68/100 | Global 1468 | Total 0.238592 | Data 0.235426 | NS 3.166540 | LR 6.93e-04
Epoch 15/16 | Step 69/100 | Global 1469 | Total 0.102073 | Data 0.098559 | NS 3.513924 | LR 6.93e-04
Epoch 15/16 | Step 70/100 | Global 1470 | Total 0.181593 | Data 0.175854 | NS 5.738833 | LR 6.92e-04
Epoch 15/16 | Step 71/100 | Global 1471 | Total 0.065038 | Data 0.061802 | NS 3.235473 | LR 6.92e-04
Epoch 15/16 | Step 72/100 | Global 1472 | Total 0.136810 | Data 0.133577 | NS 3.232462 | LR 6.92e-04
Epoch 15/16 | Step 73/100 | Global 1473 | Total 0.198522 | Data 0.195154 | NS 3.368190 | LR 6.92e-04
Epoch 15/16 | Step 74/100 | Global 1474 | Total 0.162610 | Data 0.159762 | NS 2.847875 | LR 6.92e-04
Epoch 15/16 | Step 75/100 | Global 1475 | Total 0.154282 | Data 0.151743 | NS 2.538534 | LR 6.92e-04
Epoch 15/16 | Step 76/100 | Global 1476 | Total 0.067997 | Data 0.063851 | NS 4.145101 | LR 6.91e-04
Epoch 15/16 | Step 77/100 | Global 1477 | Total 0.225170 | Data 0.220985 | NS 4.184703 | LR 6.91e-04
Epoch 15/16 | Step 78/100 | Global 1478 | Total 0.150613 | Data 0.147578 | NS 3.035691 | LR 6.91e-04
Epoch 15/16 | Step 79/100 | Global 1479 | Total 0.058261 | Data 0.054067 | NS 4.193399 | LR 6.91e-04
Epoch 15/16 | Step 80/100 | Global 1480 | Total 0.154724 | Data 0.151650 | NS 3.074482 | LR 6.91e-04
Epoch 15/16 | Step 81/100 | Global 1481 | Total 0.091294 | Data 0.088041 | NS 3.252717 | LR 6.91e-04
Epoch 15/16 | Step 82/100 | Global 1482 | Total 0.243992 | Data 0.240675 | NS 3.317713 | LR 6.90e-04
Epoch 15/16 | Step 83/100 | Global 1483 | Total 0.114128 | Data 0.110766 | NS 3.361643 | LR 6.90e-04
Epoch 15/16 | Step 84/100 | Global 1484 | Total 0.156702 | Data 0.153075 | NS 3.626152 | LR 6.90e-04
Epoch 15/16 | Step 85/100 | Global 1485 | Total 0.086516 | Data 0.081351 | NS 5.164092 | LR 6.90e-04
Epoch 15/16 | Step 86/100 | Global 1486 | Total 0.136959 | Data 0.132358 | NS 4.601814 | LR 6.90e-04
Epoch 15/16 | Step 87/100 | Global 1487 | Total 0.114120 | Data 0.111074 | NS 3.046365 | LR 6.89e-04
Epoch 15/16 | Step 88/100 | Global 1488 | Total 0.209326 | Data 0.206455 | NS 2.871463 | LR 6.89e-04
Epoch 15/16 | Step 89/100 | Global 1489 | Total 0.108770 | Data 0.105740 | NS 3.030062 | LR 6.89e-04
Epoch 15/16 | Step 90/100 | Global 1490 | Total 0.241459 | Data 0.238323 | NS 3.136126 | LR 6.89e-04
Epoch 15/16 | Step 91/100 | Global 1491 | Total 0.334236 | Data 0.331347 | NS 2.888573 | LR 6.89e-04
